track_uri,track_name,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist
spotify:track:0Di26AbdtizzHkFstPyt7A,No Shopping (feat. Drake),227727,0.895,0.491,10,-10.261,0.246,0.0144,0.000988,0.143,0.249,83.505,French Montana
spotify:track:3ejrk4i0LWIofaaBEmwX0A,Stay Schemin,267720,0.448,0.719,7,-4.179,0.291,0.0833,0.0,0.162,0.301,162.09,Rick Ross
spotify:track:2jTujnt0y344ai1rNOywgr,KMT,162638,0.875,0.6,1,-6.818,0.0435,0.0189,0.0143,0.132,0.0906,119.987,Drake
spotify:track:12d5QFwzh60IIHlsSnAvps,10 Bands,177733,0.825,0.756,11,-3.687,0.383,0.265,2.15e-06,0.0762,0.888,172.938,Drake
spotify:track:2ExePm1EBdSJkr4Y4Nc50z,Gyalchester,189230,0.877,0.391,1,-8.196,0.063,0.0317,0.000502,0.0945,0.122,131.018,Drake
spotify:track:3dgQqOiQ9fCKVhNOedd2lf,Started From the Bottom,174120,0.794,0.523,8,-7.829,0.161,0.0331,0.0,0.156,0.56,86.307,Drake
spotify:track:4GVD0FIBo08FSAy3tbIY7g,Pop That,303533,0.734,0.892,2,-1.856,0.125,0.0648,0.0,0.58,0.605,138.031,French Montana
spotify:track:1I55Ea0zVoSKs6MqW7DQ3i,War,180000,0.749,0.792,10,-4.151,0.0826,0.292,0.0,0.109,0.239,144.064,Drake
spotify:track:1U4mweNwisxNj23ffuC9gO,Miss Me,305520,0.426,0.862,2,-5.979,0.597,0.0813,0.0,0.34,0.332,100.3,Drake
spotify:track:2bjwRfXMk4uRgOD9IBYl9h,Portland,236615,0.925,0.443,1,-8.216,0.264,0.0172,0.0,0.276,0.35,136.078,Drake
spotify:track:4YJmZfvlheSziXem8HBWrj,Still Here,189853,0.833,0.431,0,-9.604,0.194,0.0267,0.0,0.633,0.224,133.938,Drake
spotify:track:4XoP1AkbOurU9CeZ2rMEz2,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",233787,0.869,0.687,1,-6.816,0.263,0.0208,1e-06,0.114,0.668,96.006,A$AP Rocky
spotify:track:6T8cJz5lAqGer9GUHGyelE,God's Plan,198960,0.755,0.448,7,-9.587,0.107,0.0283,3.28e-05,0.514,0.318,77.179,Drake
